scraped_at,source_url,detail_url,building_name_raw,building_name_norm,rent_text,deposit_text,key_money_text,area_sqm_text,layout_text,floor_text,direction_text
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1254350067068.html,MOJI　MID AIR門司 ミッドエア 1505,MOJI MID AIR門司 ミッドエア,16.5万円 (-円),無,2ヶ月,86.72m²,3LDK,15階,北東
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1563030002371.html,MOJI MID AIR,MOJI MID,16.5万円 (-円),無,2ヶ月,81.81m²,3LDK,15階,-
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1254350068756.html,MOJI　MID AIR門司 ミッドエア 2401,MOJI MID AIR門司 ミッドエア,25万円 (-円),1ヶ月,1ヶ月,95.98m²,2LDK,24階,南西
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1254350065848.html,KOKURA TOWER 2402,KOKURA TOWER,27万円 (-円),無,4ヶ月,113.71m²,2LDK,24階,北西
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1504270011116.html,CPタワー,CPタワー,"5万円 (3,000円)",無,無,26.04m²,ワンルーム,15階,-
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1504270011115.html,CPタワー,CPタワー,"5万円 (3,000円)",無,無,26.04m²,ワンルーム,16階,-
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1504270011112.html,CPタワー,CPタワー,"5.1万円 (3,000円)",無,無,26.04m²,1DK,18階,-
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1504270011113.html,CPタワー,CPタワー,"5.2万円 (3,000円)",無,無,26.04m²,1DK,17階,-
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1504270011109.html,CPタワー,CPタワー,"5.2万円 (3,000円)",無,無,26.04m²,1DK,19階,-
2026-02-14T19:46:49+09:00,https://www.mansion-review.jp/chintai/city/400001.html?condition=on&sub_city%5B%5D=1616&sub_city%5B%5D=1619&homes_cond_monthmoneyroom_min=0&homes_cond_monthmoneyroom_max=99999999&homes_cond_housearea_min=0&homes_cond_housearea_max=9999&search=%E6%A4%9C%E7%B4%A2%E3%81%99%E3%82%8B,https://www.mansion-review.jp/chintai/1504270011114.html,CPタワー,CPタワー,"5.3万円 (3,000円)",無,無,26.04m²,ワンルーム,16階,-
